index,HIP,common name,spectral type,measured distance_ly,source
136,63125,Cor Caroli,A0,110.19,https://en.wikipedia.org/wiki/Cor_Caroli
137,80463,Cujam,A2 Vp CrSr,250,https://en.wikipedia.org/wiki/Omega_Herculis
138,23875,Cursa,A3IIIvar,89,https://pt.wikipedia.org/wiki/Beta_Eridani
139,100345,Dabih,A5:n,344,https://pt.wikipedia.org/wiki/Beta1_Capricorni
140,14879,Dalim,F8V,46.03,https://www.universeguide.com/star/14879/alphafornacis
141,102098,Deneb,A2Ia,2613,https://pt.wikipedia.org/wiki/Deneb
142,107556,Deneb Algedi,A5mF2 (IV),39,https://pt.wikipedia.org/wiki/Delta_Capricorni
143,57632,Denebola,A3V,35.9,https://pt.wikipedia.org/wiki/Denebola 
144,64241,Diadem,F5V,46.72,https://www.universeguide.com/star/64241/diadem
145,54158,Dingolay,G6V,433.15,https://www.universeguide.com/star/54158/hd96063
146,3419,Diphda,K0III,95.82,https://www.universeguide.com/star/3419/diphda
149,66047,Dofida,G2V,124.02,https://www.universeguide.com/star/66047/hd117618
151,78401,Dschubba,B0.2IV,401.68,https://www.universeguide.com/star/78401/dschubba
152,54061,Dubhe,F7V comp,123.64,https://www.universeguide.com/star/54061/dubhe
153,86614,Dziban,F5IV-V,72,https://pt.wikipedia.org/wiki/Psi_Draconis
154,114322,Ebla,K3V,97.65,https://www.universeguide.com/star/114322/hd218566
155,75458,Edasich,K2III,102,https://pt.wikipedia.org/wiki/Iota_Draconis
156,17499,Electra,B6III,370.64,https://www.universeguide.com/star/17499/electra
157,70755,Elgafar,G3V,135.06,https://www.universeguide.com/star/70755/phivirginis
158,29034,Al kurud,B8IV,762.06,https://www.universeguide.com/star/29034/alkurud
159,25428,Elnath,B7III,131.04,https://www.universeguide.com/star/25428/elnath
160,87833,Eltanin,K5III,147.59,https://www.universeguide.com/star/87833/eltanin
161,5529,Emiw,K0IV/V,117.03,https://www.universeguide.com/star/5529/hd7199
162,107315,Enif,K2Ibvar Supergiant Star,689.56,https://www.universeguide.com/star/107315/enif
163,116727,Errai,Spectroscopic Binary K1IV,46.00,https://www.universeguide.com/star/116727/errai
164,90344,Fafnir,K2III Giant Star,314.83,https://www.universeguide.com/star/90344/42draconis
165,78265,Fang,B1V + B2V Main Sequence,459.38,https://www.universeguide.com/star/78265/piscorpii
166,97165,Fawaris,Giant Star B9.5III,171.03,https://www.universeguide.com/star/97165/alfawaris
167,48615,Felis,Giant Star K5III,705.98,https://www.universeguide.com/star/48615/felis
168,2247,Felixvarela,Carbon Star C,5346.94,https://www.universeguide.com/star/22247/tcaeli
169,57370,Flegetonte,Main Sequence K0V,94.5,https://www.universeguide.com/star/57370/hd102195
170,113368,Fomalhaut,Main Sequence A3V,25.07,https://www.universeguide.com/star/113368/fomalhaut
171,56508,Giant Star G9III,459.38,https://www.universeguide.com/star/56508/formosa
173,2920,Fulu,Subgiant Star B2IV,597.37,https://www.universeguide.com/star/2920/zetacassiopeiae
174,113889,Fumalsamakah,Subgiant Star B7 IV/V,492.69,https://www.universeguide.com/star/113889/fumalsamakah
175,61177,Funi,G0,215.43,https://www.universeguide.com/star/61177/hd109246
176,30122,Main Sequence B2.5V,336.25,https://www.universeguide.com/star/30122/furud
177,87261,Fuyue,Giant Star K0/K1III,126.86,https://www.universeguide.com/star/87261/gscorpii
178,61084,Gacrux,Giant Star M4III,87.94,https://www.universeguide.com/star/61084/gacrux
179,42446,Gakyid,G5,316.36,https://www.universeguide.com/star/42446/gakyid
181,56211,Giausar,Giant Star M0IIIvar,334.18,https://www.universeguide.com/star/56211/gianfar
182,59803,Gienah,Giant Star B8III,164.90,https://www.universeguide.com/star/59803/gienahghurab
183,60260,Ginan,Giant Star K3/K4III,228.09,https://www.universeguide.com/star/60260/epsiloncrucis
185,36188,Gomeisa,Main Sequence B8Vvar,170.23,https://www.universeguide.com/star/36188/gomeisa
186,87585,Grumium,Giant Star K2III,111.47,https://www.universeguide.com/star/87585/grumium
187,77450,Gudja,Giant Star M1III,348.47,https://www.universeguide.com/star/77450/kappaserpentis
188,94645,Gumala,Main Sequence F8V,88.22,https://www.universeguide.com/star/94645/gumala
189,84405,Guniibuu,Giant Star K2III,19.52,https://www.universeguide.com/star/84405/36ophiuchi
190,68702,Hadar,Giant Star B1III,525.22,https://www.universeguide.com/star/68702/hadar 
191,23767,Haedus,Main Sequence B3V,219.34,https://www.universeguide.com/star/23767/haedus 
192,9884,Hamal,Giant Star K2III,65.92,https://www.universeguide.com/star/9884/hamal
193,23015,Hassaleh,Luminous Giant Star K3IIvar,512.03,https://www.universeguide.com/star/23015/kabdhilinan
194,26241,Hatysa,Spectroscopic Binary O9III,1325.87,https://www.universeguide.com/star/26241/nairalsaif
195,113357,Helvetios,Main Sequence G5V,50.10,https://www.universeguide.com/star/113357/helvetios
196,66249,Heze,Subgiant Star A0/1IV,73.21,https://www.universeguide.com/star/66249/heze
197,21109,Hoggar,Subgiant Star G8IV,550.95,https://www.universeguide.com/star/21109/hoggar
198,112029,Homam,Main Sequence B8.5V,208.54,https://www.universeguide.com/star/112029/homam
200,55174,Hunahpu,Subgiant Star K0III/IV,490.47,https://www.universeguide.com/star/55174/hunahpu
201,80076,Hunor,F8,441.36,https://www.universeguide.com/star/80076/hunor
202,78104,Iklil,Spectroscopic Binary B2IV/V,409.24,https://www.universeguide.com/star/78104/rhoscorpii
203,47087,Illyrian,G0,366.06,https://www.universeguide.com/star/47087/illyrian 
204,59747,Imai,Subgiant Star B2IV,364.02,https://www.universeguide.com/star/59747/decrux
205,84787,Inquill,Main Sequence G1Vw...,179.70,https://www.universeguide.com/star/84787/hd156411
206,15578,Intan,Subgiant Star K3/K4IV,145.16,https://www.universeguide.com/star/15578/hd20868
207,46471,Intercrus,Subgiant Star K0III-IV,287.88,https://www.universeguide.com/star/46471/intercrus
209,108375,Itonda,Main Sequence G2V,143.49,https://www.universeguide.com/star/108375/itonda 
210,72105,Izar,Multiple Star System A0,209.75,https://www.universeguide.com/star/72105/izar
211,79374,Jabbah,Subgiant Star B2IV,436.63,https://www.universeguide.com/star/79374/jabbah
212,37265,Jishui,Giant Star F3III,158.18,https://www.universeguide.com/star/37265/omicrongeminorum 
213,12706,Kaffaljidhma,Main Sequence A2 Va,81.99,https://www.universeguide.com/star/12706/kaffaljidhma
214,47202,Kalausi,Main Sequence K0V,142.00,https://www.universeguide.com/star/47202/hd83443
215,79219,Kamuy,Giant Star K0III,411.30,https://www.universeguide.com/star/79219/hd145457
216,69427,Kang,Giant Star K2/3 III,223.55,https://www.universeguide.com/star/69427/kappavirginis
217,76351,Karaka,Main Sequence K0/K1V,125.40,https://www.universeguide.com/star/76351/hd137388
218,90185,Kaus Australis,Giant Star B9.5III,144.64,https://www.universeguide.com/star/90185/kausaustralis
219,90496,Kaus Borealis,Giant Star K1IIIb,77.29,https://www.universeguide.com/star/90496/kausborealis
220,89931,Kaus Media,Giant Star K3III,305.68,https://www.universeguide.com/star/89931/kausmedia 
221,92895,Kaveh,Subgiant Star G6/8 IV,416.02,https://www.universeguide.com/star/92895/hd175541
222,19849,Keid,Main Sequence K0/1 V,16.45,https://www.universeguide.com/star/19849/keid
223,69974,Khambalia,Spectroscopic Binary A1V,186.70,https://www.universeguide.com/star/69974/khambalia
224,104987,Kitalpha,Spectroscopic Binary G5 III + A5 V,186.27,https://www.universeguide.com/star/104987/kitalpha
225,72607,Kochab,Giant Star K4IIIvar,126.47,https://www.universeguide.com/star/72607/kochab
226,12961,Koeia,red dwarf K5V,76.3,https://en.wikipedia.org/wiki/HIP_12961
228,80816,Kornephoros,Spectroscopic Binary G8III,147.79,https://www.universeguide.com/star/80816/kornephoros 
229,61359,Kraz,Luminous Giant Star G5II,139.74,https://www.universeguide.com/star/61359/kraz
230,108917,Kurhah,Am,101.70,https://www.universeguide.com/star/108917/alkurah
231,62223,La Superba,Carbon Star C7Iab,710.60,https://www.universeguide.com/star/62223/lasuperba
232,82396,Larawag,Giant Star K2IIIb,65.43,https://www.universeguide.com/star/82396/wei
234,85696,Lesath,Subgiant Star B2IV,518.54,https://www.universeguide.com/star/85696/lesath
235,97938,Libertas,giant star K0III,204.36,https://www.universeguide.com/star/97938/libertas
237,66192,Liesma,K0,288.90,https://www.universeguide.com/star/66192/hd118203
238,13061,Lilii Borea,Giant Star K1III,180.60,https://www.universeguide.com/star/13061/39arietis
239,110813,Lionrock,Subgiant Star G8IV,397.28,https://www.universeguide.com/star/110813/lionrock
240,30860,Lucilinburhuc,G5,159.65,https://www.universeguide.com/star/30860/hd45350
241,30905,Lusitania,K5,117.88,https://www.universeguide.com/star/30905/hd45652
242,85693,Maasym,Giant Star K3IIIvar,367.30,https://www.universeguide.com/star/85693/maasym
243,52521,Macondo,Main Sequence K3V,94.27,https://www.universeguide.com/star/52521/macondo
244,24003,Mago,Giant StarK1III,382.82,https://www.universeguide.com/star/24003/mago
245,28380,Mahasim,Variable Star A0p Si,173.21,https://www.universeguide.com/star/28380/thetaaurigae
